Avalanche Year,YYYY,MM,DD,PLACE,SETTING,STATE,LAT,LON,Primary Activity,Travel Mode,KL
2012,2012,2,20,"Lost Johnny drainage, east of Kaispell",BC,MT, 48.24219,-114.00475,Snowmobiler,Snowmobile,1
2012,2012,2,19,"Tunnel Creek, near Steven Pass",BC,WA, 47.73095,-121.10187,Sidecountry Rider,Ski,3
2012,2012,2,22,"Miller Road, north of Cooke City",BC,MT, 45.03811, -109.94252,Snowmobiler,Snowmobile,1
2012,2012,2,13,"Contention Fingers, Bear Creek, Telluride",BC,CO, 37.92179,-107.80952,Sidecountry Rider,Snowboard,1
2012,2012,3,13,"Takin Ridge, northwest of Haines",BC,AK,59.30267,-136.0355,Mechanized Guide,Ski,2
2013,2013,3,3,"Takhinsha Mtns, West of Haines",BC,AK,59.23428,-135.44838,Mechanized Guiding Client,Snowboard,1
2014,2014,3,19,"Kicking Horse Valley, west of Haines",BC,AK,59.174833,-135.94405,Mechanized Guide,Ski,1
2014,2014,5,14,North face of Mount Shuksan,BC,WA,48.83072,-121.60287,Backcountry Tourer,Foot,1
2012,2012,2,25,"Skyline Creek, near Marias Pass",BC,MT,48.28091, -113.34938,Snowmobiler,Snowmobile,1
2014,2014,2,22,"Troy, West Cabinet Mountain Range",BC,MT,48.24066,-116.0307,Snowmobiler,Snowmobile,1
2012,2012,2,1,"Twin Lakes, Swan Range",BC,MT,48.185517,-113.947749,Backcountry Tourer,Ski,1
2014,2014,1,18,"Lewis Peak, Cascades north of Stevens Pass",BC,WA,48.00566,-121.46261,Climber,Foot,1
2013,2013,4,13,Red Mountain  ,BC,WA,47.4556,-121.38923,Hiker,Snowshoe,1
2012,2012,2,19,"WAC Bluffs, near Snoqualimie Pass",BC,WA,47.436869,-121.422207,Sidecountry Rider,Snowboard,1
2014,2014,4,3,Granite Mountain,BC,WA,47.42995,-121.63033,Backcountry Tourer,Ski,1
2013,2013,4,13,Granite Mountain near Snoqualmie Pass,BC,WA,47.41624,-121.48046,Hiker,Snowshoe,1
2014,2014,2,28,"Mount Jumbo, Missoula",TN,MT,46.874,-113.9641,Resident,Foot,1
2012,2012,1,1,"Phillipsburg, Flint Range, Red Lion",BC,MT,46.2846,-113.1553,Snowmobiler,Snowmobile,1
2014,2014,3,10,"Altoona, about 10 miles northeast of Philipsburg, Montana",BC,MT,46.2216,-113.1427,Backcountry Tourer,Ski,1
2014,2014,5,3,"Olson Gulch, west of Anaconda",BC,MT,46.191151,-113.12302,Backcountry Tourer,Ski,1
2014,2014,1,13,"Onion Basin, northern Gallatin Range",BC,MT,45.19274,-111.11318,Snowmobiler,Snowmobile,1
2012,2011,12,31,"Henderson Mountain, near Cooke City",BC,MT,45.05912,-109.948,Snowmobiler,Snowmobile,1
2014,2014,3,11,"Cooke City, Montana",BC,MT,45.04988,-109.96267,Snowmobiler,Snowmobile,1
2014,2014,2,11,"SW face of Cornucopia Peak, Wallowa Mountains",BC,OR,45.0200391,-117.2585298,Human-powered Guide Client,Ski,2
2012,2011,12,31,"Hayden Creek, south of Cooke City",BC,MT,44.98826,-109.9001,Backcountry Tourer,Ski,1
2013,2013,3,1,"Huntington Ravine, Mt Washington",BC,NH,44.27458,-71.28565,Climber,Foot,1
